subspace_size,fci_subspace_energy,fci_energy
253,-2.8471921339556086,-2.847192133955601
254,-2.8471921339555943,-2.847192133955601
255,-2.847192133955608,-2.847192133955601
256,-2.847192133955621,-2.847192133955601
257,-2.8471921339556068,-2.847192133955601
258,-2.8471921339556006,-2.847192133955601
259,-2.8471921339555997,-2.847192133955601
260,-2.8471921339556037,-2.847192133955601
261,-2.847192133955588,-2.847192133955601
262,-2.847192133955594,-2.847192133955601
263,-2.8471921339556108,-2.847192133955601
264,-2.847192133955604,-2.847192133955601
265,-2.8471921339556077,-2.847192133955601
266,-2.847192133955597,-2.847192133955601
267,-2.847192133955601,-2.847192133955601
268,-2.8471921339555974,-2.847192133955601
269,-2.8471921339556006,-2.847192133955601
270,-2.847192133955609,-2.847192133955601
271,-2.847192133955599,-2.847192133955601
272,-2.8471921339555997,-2.847192133955601
273,-2.8471921339555997,-2.847192133955601
274,-2.847192133955594,-2.847192133955601
275,-2.8471921339556094,-2.847192133955601
276,-2.84719213395561,-2.847192133955601
277,-2.847192133955615,-2.847192133955601
278,-2.847192133955602,-2.847192133955601
279,-2.847192133955615,-2.847192133955601
280,-2.847192133955611,-2.847192133955601
281,-2.847192133955599,-2.847192133955601
282,-2.847192133955627,-2.847192133955601
283,-2.8471921339556068,-2.847192133955601
284,-2.8471921339556103,-2.847192133955601
285,-2.8471921339556037,-2.847192133955601
286,-2.8471921339556183,-2.847192133955601
287,-2.8471921339555992,-2.847192133955601
288,-2.8471921339556023,-2.847192133955601
289,-2.847192133955602,-2.847192133955601
290,-2.847192133955607,-2.847192133955601
291,-2.8471921339555983,-2.847192133955601
292,-2.8471921339555895,-2.847192133955601
293,-2.847192133955616,-2.847192133955601
294,-2.847192133955611,-2.847192133955601
